Id,Name,Built,Use,Height_metres,Height_feet,Levels,Municipality,Latitude,Longitude,Address
5,TourGranite,2008,office,184,600,37,Nanterre,48.8917216,2.2296297,"TourGranite,Nanterre,France"
10,TourAlicante,1995,office,167,548,37,Nanterre,48.8919573,2.2308681,"TourAlicante,Nanterre,France"
11,TourChassagne,1995,office,167,548,37,Nanterre,48.8919573,2.2308681,"TourChassagne,Nanterre,France"
49,Skylight,2017,residential,76,249,19,Puteaux,48.8930231,2.2321084,"Skylight,Puteaux,France"
48,TourPacific,1992,office,90,295,25,Puteaux,48.8920259,2.2325569,"TourPacific,Puteaux,France"
47,TourPascal,1983,office,95,312,27,Puteaux,48.8903798,2.2350077,"TourPascal,Puteaux,France"
50,RosedeCherbourgresidence,2018,housing,75,246,20,Puteaux,48.8883321,2.2352576,"RosedeCherbourgresidence,Puteaux,France"
32,GrandeArche,1989,mix,110,361,37,Puteaux,48.8925978,2.2361121,"GrandeArche,Puteaux,France"
16,TourAdria,2002,office,155,509,40,Courbevoie,48.8950169,2.2366634,"TourAdria,Courbevoie,France"
22,TourDéfense2000,1974,residential,134,440,47,Puteaux,48.8875,2.236667,"TourDéfense2000,Puteaux,France"
40,TourCèdre,1998,office,103,338,26,Courbevoie,48.8959024,2.237553,"TourCèdre,Courbevoie,France"
17,TourÉgée,1999,office,155,509,40,Courbevoie,48.8953284,2.2381554,"TourÉgée,Courbevoie,France"
28,TourWinterthur,1973,office,119,390,33,Puteaux,48.8892418,2.238909,"TourWinterthur,Puteaux,France"
4,TourEngie,2008,office,185,607,37,Courbevoie,48.896151,2.2398053,"TourEngie,Courbevoie,France"
27,TourSequoia,1990,office,119,390,33,Puteaux,48.8944091,2.2403461,"TourSequoia,Puteaux,France"
26,TourFranklin,1972,office,120,394,33,Puteaux,48.8890541,2.2404731,"TourFranklin,Puteaux,France"
19,TourTrinity,2020,office,151,495,32,Courbevoie,48.8929516,2.2410349,"TourTrinity,Courbevoie,France"
12,TourEDF,2001,office,165,541,41,Puteaux,48.8898195,2.2415862,"TourEDF,Puteaux,France"
35,TourEve,1975,mixed,109,358,30,Puteaux,48.888024,2.2417074,"TourEve,Puteaux,France"
7,TourAreva,1974,office,178,584,44,Courbevoie,48.8924915,2.2417973,"TourAreva,Courbevoie,France"
41,TourOpus12,1973,office,100,328,27,Puteaux,48.889642,2.2426249,"TourOpus12,Puteaux,France"
39,TourGambetta,1975,residential,104,341,37,Courbevoie,48.8940246,2.243025,"TourGambetta,Courbevoie,France"
3,TourTotal,1985,office,187,614,48,Courbevoie,48.8927778,2.2433333,"TourTotal,Courbevoie,France"
18,TourAriane,1975,office,152,499,36,Puteaux,48.8893459,2.2435043,"TourAriane,Puteaux,France"
2,TourMajunga,2014,office,194,636,47,Puteaux,48.8890282,2.2435414,"TourMajunga,Puteaux,France"
46,TourAtlantique,1970,office,95,312,27,Puteaux,48.8910024,2.2437628,"TourAtlantique,Puteaux,France"
14,CœurDéfense,2001,office,161,528,40,Courbevoie,48.891113,2.2438816,"CœurDéfense,Courbevoie,France"
21,TourEuroplaza,1995,office,135,443,31,Courbevoie,48.891667,2.245,"TourEuroplaza,Courbevoie,France"
13,TourCarpeDiem,2013,office,162,531,38,Courbevoie,48.891389,2.245833,"TourCarpeDiem,Courbevoie,France"
43,TourEurope,1969,office,99,325,28,Courbevoie,48.891652,2.2459311,"TourEurope,Courbevoie,France"
20,TourDexia,2005,office,142,466,36,Courbevoie,48.8911227,2.2465784,"TourDexia,Courbevoie,France"
23,TourEqho,1988,office,130,427,40,Courbevoie,48.892384,2.2469076,"TourEqho,Courbevoie,France"
29,TourCGI,2003,office,117,384,32,Courbevoie,48.8902305,2.2472462,"TourCGI,Courbevoie,France"
34,TourAurore,1970,office,110,361,29,Courbevoie,48.8899431,2.2473384,"TourAurore,Courbevoie,France"
25,TourFrance,1973,residential,126,413,40,Puteaux,48.8830894,2.2477203,"TourFrance,Puteaux,France"
9,TourD2,2014,office,171,561,37,Courbevoie,48.890278,2.247778,"TourD2,Courbevoie,France"
33,TourManhattan,1975,office,110,361,32,Courbevoie,48.8895765,2.2484894,"TourManhattan,Courbevoie,France"
42,TourAthéna,1984,office,100,328,25,Puteaux,48.8876335,2.2490527,"TourAthéna,Puteaux,France"
51,TourEriaRueBellini,2021,mix,59.35,195,13,Puteaux,48.8863694,2.2490706,"Tour EriaRue Bellini,Puteaux,France"
45,TourPrisma,1998,office,97,318,25,Courbevoie,48.8905661,2.2491299,"TourPrisma,Courbevoie,France"
8,TourSaint-Gobain,2020,office,178,584,39,Courbevoie,48.8895059,2.2491586,"TourSaint-Gobain,Courbevoie,France"
6,TourCB21,1974,office,179,587,42,Courbevoie,48.8888703,2.2499331,"TourCB21,Courbevoie,France"
44,TourAIG,1967,office,99,325,27,Courbevoie,48.8888703,2.2499331,"TourAIG,Courbevoie,France"
15,TourAlto,2020,office,160,525,38,Courbevoie,48.8890552,2.2510828,"TourAlto,Courbevoie,France"
36,TourInitiale,1967,office,109,358,30,Puteaux,48.8869344,2.2513808,"TourInitiale,Puteaux,France"
24,TourLesPoissons,1970,mixed,129.5,425,42,Courbevoie,48.8944106,2.251657,"TourLesPoissons,Courbevoie,France"
1,TourFirst,1974/2011,office,231,758,50,Courbevoie,48.8888328,2.2518603,"TourFirst,Courbevoie,France"
30,TourNeptune,1972,office,113,371,28,Courbevoie,48.8893421,2.254052,"TourNeptune,Courbevoie,France"
